uid,Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
847ea977-5219-469e-bce8-6922273404a6,Pachinko Maruhi Hisshouhou,パチンコ○秘必勝法,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-APKJ-JPN,1994-11-18,Gambling,Pachinko
d2d43730-5519-4672-8c09-f5021194db61,Pachinko Monogatari - Pachi-Slot mo Aru deyo!!,パチンコ物語 パチスロもあるでよ！！,ケイエスエス / KSS,SHVC-KS,1993-05-28,Gambling,Pachinko
1dd47324-51bb-4d3a-bf64-6b4c531bc69a,Pachinko Monogatari 2 - Nagoya Shachihoko no Teiou,パチンコ物語2 名古屋シャチホコの帝王,ケイエスエス / KSS,SHVC-A2PJ-JPN,1995-01-27,Gambling,Pachinko
65feda6e-1233-48d2-b14c-dda8c3ef8596,Pachinko Renchan Tengoku - Super CR Special,パチンコ 連チャン天国 スーパーCRスペシャル,"バップ, パチンコ○秘情報編集部 / VAP (NTV)",SHVC-ALCJ-JPN,1995-05-26,Gambling,Pachinko
f1ba4e9c-a5d2-4719-a706-2dbbd531cdc2,Pachinko Tetsujin - Nanaban Shoubu,,,,,Pachinko,
d612c5e7-afcc-4059-963b-1c5477e6d87d,Pachinko Wars,パチンコウォーズ,ココナッツ・ジャパン / エルステッド / Coconuts Japan / Orested,SHVC-PC,1992-07-17,Gambling,Pachinko
9f0ef8b6-fabc-4198-b33b-145460c7bfe6,Pachinko Wars II,パチンコウォーズII,ココナッツジャパン / エルステッド / Coconuts Japan / Orested,SHVC-P6,1993-12-17,Gambling,Pachinko
c2ee7d4d-2f71-42cf-b477-7bedf6d59051,Pachiokun Special,スペシャル パチ夫くんSPECIAL,ココナッツ・ジャパン / Coconuts Japan,SHVC-PA,1992-12-11,Gambling,Pachinko
7dc64967-5483-4195-8dbe-22d2731a8636,Pachiokun Special 2,パチ夫くん スペシャル2,ココナッツ・ジャパン / Coconuts Japan,SHVC-OC,1994-05-20,Gambling,Pachinko
ca9ec551-0d89-4ae0-93c1-4f413386d0bb,Pachiokun Special 3,パチ夫くん スペシャル3,ココナッツジャパン エンターテイメント / Coconuts Japan Entertainment,SHVC-AP3J-JPN,1995-12-01,Gambling,Pachinko
7f8edd65-1eb8-447f-bfd4-c671590d5f35,Panel de Pon,パネルでポン,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-AYLJ-JPN,1995-10-27,Puzzle,Matching
6b4a0bf0-f531-4f11-a483-bd4e6dbd4fd4,Panic in Nakayoshi World,パニック イン なかよしワールド,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-ANAJ-JPN,1994-11-18,Puzzle,Action
c76b3b7e-d78c-44fa-875a-21937e311ecd,Parlor! Mini - Pachinko Jikki Simulation,パーラー！ミニ Parlor! Mini パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQAJ-JPN,1996-04-26,Gambling,Pachinko
c0d3dc26-8254-4614-904e-a337f0f54c9d,Parlor! Mini 2 - Pachinko Jikki Simulation,パーラー！ミニ2 Parlor ! Mini 2 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQCJ-JPN,1996-06-28,Gambling,Pachinko
7fd07e8d-54ef-4330-b125-c8346950eb89,Parlor! Mini 3 - Pachinko Jikki Simulation,パーラー！ミニ3 Parlor ! Mini 3 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQVJ-JPN,1996-09-27,Gambling,Pachinko
ea548a3b-ad37-49e0-bd6f-8036d124464c,Parlor! Mini 4 - Pachinko Jikki Simulation,パーラー！ミニ4 Parlor ! Mini 4 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan / Irem / Kyoraku,SHVC-AQXJ-JPN,1996-11-29,Gambling,Pachinko
0646e8e1-0a5d-4518-a01b-8d5404807ca8,Parlor! Mini 5 - Pachinko Jikki Simulation,パーラー！ミニ5 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQYJ-JPN,1997-03-28,Gambling,Pachinko
cce85b13-0a02-446f-9740-b254946e7414,Parlor! Mini 6 - Pachinko Jikki Simulation,パーラー！ミニ6 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQRJ-JPN,1997-05-30,Gambling,Pachinko
8013ae29-7031-4b0d-8457-c67aa436c41d,Parlor! Mini 7 - Pachinko Jikki Simulation,パーラー！ミニ7 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQMJ-JPN,1997-08-29,Gambling,Pachinko
91c3bc19-e21a-4687-b24b-0daec125a2d1,Parodius da! Shinwa Kara Owarai he,パロディウスだ！ −神話からお笑いへ−,コナミ / Konami,SHVC-PD,1992-07-03,SHMUP,Horizontal
